Issue 1 PSD Panel Tracker,,,,,,,,
Panel,Shot,Version,M,Content,Status,Anim. Hours,Layers Conf.,Notes
001_001_001,001_001_001,v2,,City,COLOR DONE,,Layers OK,
001_001_002,001_001_002,,X,Trekking up the mountain,COLOR DONE,,Layers OK,
001_001_003,001_001_003,,X,distant airship,COLOR DONE,,Layers OK,
001_001_004,001_001_004,,X,Pushing guy over railing,COLOR DONE,,Layers OK,needle can rattle slightly as it rotates a touch towards E. Finger are fully animatable.
001_001_005,001_001_005,,X,Fuel/mining station,COLOR DONE,,Layers OK,
001_002_001,001_001_006,v2,X,Air battle,COLOR DONE,,Layers OK,"this is one of the most important panels, let Zach know if you think that something could be aditionally expanded or layered for a nice animation"
001_002_002,001_001_007,,X,Low fuel gauge,COLOR DONE,,Layers OK,
001_002_003,001_001_008,v2,X,The Judge,COLOR DONE,,Layers OK,Judge's arm layered
001_002_004,001_001_009,v2,X,The Executioner,COLOR DONE,,Layers OK,look for v2 file.
001_002_005,001_001_010,,,The Dawn flies towards sun,COLOR DONE,,Layers OK,
ACTIVE SCENE,001_002_001,,,"Flying to ""The Peak""",3D SCENE,,,
001_003_001,001_002_002,,,"Approaching ""The Peak""",COLOR DONE,,Layers OK,
001_003_002,001_002_003,,,Cola ready to land,COLOR DONE,,Layers OK,
001_003_003,001_002_004,,,Cola landed,COLOR DONE,,Layers OK,puppet wrapping animation for plane engine steam
001_003_004,001_002_005,,,Cola & Critter walk to the bar,COLOR DONE,,Layers OK,"Cola and her legs layered. Critter and his limbs - layered. glowing light of the bar windows - layered. use a slow zoom in, or/and pan down of the cam."
001_004_001,001_002_006,,X,Entering to bar,COLOR DONE,,Layers OK,"Cola and her legs are layered. light can flicker, barkeep's hand with a bottle can go up and down pouring drink, foreground objects layered as well as the drink in the glass."
001_004_002,001_002_007,v2,X,OTS Cola to Bartender,COLOR DONE,,Layers OK,look up for v2. bartenders hand is layered. you can animate the texture of the light too if cam movement will be used.
001_004_003,001_002_008,v3,X,Cola close,COLOR DONE,,Layers OK,look up for v3.
001_004_004,001_002_009,,X,Bar people,COLOR DONE,,Layers OK,
001_004_005,001_002_010,,X,Cola close,COLOR DONE,,Layers OK,
001_004_006,001_002_011,,X,Critter close,COLOR DONE,,Layers OK,
001_005_001,001_002_012,,,Poor Critter outside,COLOR DONE,,Layers OK,"start full frame and slow zoom on critter. Critters ear can be animated up and down lil bit, his tail and head too."
001_005_002,001_002_013,,,Cola & Barkeep talk,COLOR DONE,,Layers OK,"Cola's arms and hands layered, bartender, his bottle, Critter's head and his tongue."
001_005_003,001_002_014,,X,Barkeep close,COLOR DONE,,Layers OK,
001_005_004,001_002_015,,X,Cola & Barkeep talk,COLOR DONE,,Layers OK,
001_005_005,001_002_016,,X,Cola close,COLOR DONE,,Layers OK,
001_005_006,001_002_017,v2,X,Cola & Barkeep talk,COLOR DONE,,Layers OK,
001_005_007,001_002_018,,X,OTS Cola to Barkeep,COLOR DONE,,Layers OK,
001_005_008,001_002_019,,X,Barkeep close,COLOR DONE,,Layers OK,
001_006_001,001_002_020,,,Pointing at Tug,COLOR DONE,,Layers OK,
001_006_002,001_002_021,,X,Cola whispers,COLOR DONE,,Layers OK,
001_006_003,001_002_022,,X,Barkeep explains,COLOR DONE,,Layers OK,
001_006_004,001_002_023,,X,Cola close,COLOR DONE,,Layers OK,
001_006_005,001_002_024,,,Barkeep Leaves,COLOR DONE,,Layers OK,"layered: barkeep and his hand, foreground characters and Colas head, light above for animation. u can use layers for a short camera movement from left to right or othervise."
001_006_006,001_002_025,,,Barkeep OTS remark,COLOR DONE,,Layers OK,
001_006_007,001_002_026,,,Cola turns to Tug,COLOR DONE,,Layers OK,
001_007_001,001_002_027,,X,Cola wiggling Tug's boot,COLOR DONE,,Layers OK,new multipanel
001_007_002,001_002_028,,X,Tug looking down,COLOR DONE,,Layers OK,new multipanel
001_007_003,001_002_029,,,Tug looks up,COLOR DONE,,Layers OK,"Tug's hand and hat layer goes up ant stretches up at the same time, like ~5%. zoom-in Tug and zoom-out bg (expand bg before doing that)"
001_007_004,001_002_030,,X,Cola over Tug's boots,COLOR DONE,,Layers OK,use layered object for a shifting cam or a zoom-in/zoom-out
001_007_005,001_002_031,,X,Tug profile,COLOR DONE,,Layers OK,
001_007_006,001_002_032,,X,Cola close,COLOR DONE,,Layers OK,
001_008_001,001_002_033,,X,OTS Tug,COLOR DONE,,Layers OK,Tug coul be walking OR a minimal zoom-in / zoom-out
001_008_002,001_002_034,,X,"Tug stands up, talking to Cola",COLOR DONE,,Layers OK,cola moves her hand as she talks (up and down gesture)
001_008_003,001_002_035,,X,Tug medium,COLOR DONE,,Layers OK,
001_008_004,001_002_036,,X,Cola looks over shoulder,COLOR DONE,,Layers OK,
001_008_005,001_002_037,,X,The bar,COLOR DONE,,Layers OK,
001_008_006,001_002_038,,,"""I will"" shifty Tug",COLOR DONE,,Layers OK,
001_009_001,001_002_039,,X,Tug leaves the bar,COLOR DONE,,Layers OK,"start multipanel. Layered: doors, Tug and his both hands, background."
001_009_002,001_002_040,,X,Critter snorts,COLOR DONE,,Layers OK,multipanel
001_009_003,001_002_041,,X,Cola intros Critter,COLOR DONE,,Layers OK,multipanel
001_009_004,001_002_042,,,Tug offers hand to Critter,COLOR DONE,,Layers OK,
